Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
0.0000000000000e+000	        0.121553
3.9062500000000e-003	       0.1207282
7.8125000000000e-003	       0.1171218
1.1718750000000e-002	        0.116096
1.5625000000000e-002	       0.1157844
1.9531250000000e-002	       0.1126656
2.3437500000000e-002	          0.1088
2.7343750000000e-002	       0.1146339
3.1250000000000e-002	       0.1205376
3.5156250000000e-002	       0.1236239
3.9062500000000e-002	       0.1171005
4.2968750000000e-002	       0.1227568
4.6875000000000e-002	       0.1273429
5.0781250000000e-002	       0.1377169
5.4687500000000e-002	       0.1272883
5.8593750000000e-002	       0.1271671
6.2500000000000e-002	       0.1338754
6.6406250000000e-002	       0.1315128
7.0312500000000e-002	       0.1304457
7.4218750000000e-002	       0.1342529
7.8125000000000e-002	       0.1290213
8.2031250000000e-002	        0.118589
8.5937500000000e-002	        0.130723
8.9843750000000e-002	       0.1186372
9.3750000000000e-002	       0.1364945
9.7656250000000e-002	       0.1239907
1.0156250000000e-001	       0.1094169
1.0546875000000e-001	       0.1188558
1.0937500000000e-001	       0.1258245
1.1328125000000e-001	        0.127496
1.1718750000000e-001	       0.1239813
1.2109375000000e-001	       0.1273272
1.2500000000000e-001	       0.1303464
1.2890625000000e-001	        0.127939
1.3281250000000e-001	       0.1344775
1.3671875000000e-001	         0.12164
1.4062500000000e-001	         0.13105
1.4453125000000e-001	       0.1326558
1.4843750000000e-001	       0.1411981
1.5234375000000e-001	       0.1438996
1.5625000000000e-001	       0.1343476
1.6015625000000e-001	       0.1348453
1.6406250000000e-001	       0.1400495
1.6796875000000e-001	       0.1302931
1.7187500000000e-001	       0.1195285
1.7578125000000e-001	       0.1216719
1.7968750000000e-001	        0.127358
1.8359375000000e-001	       0.1373351
1.8750000000000e-001	         0.12696
1.9140625000000e-001	       0.1321481
1.9531250000000e-001	        0.133936
1.9921875000000e-001	       0.1381059
2.0312500000000e-001	       0.1369022
2.0703125000000e-001	       0.1402928
2.1093750000000e-001	       0.1408193
2.1484375000000e-001	       0.1423655
2.1875000000000e-001	        0.136688
2.2265625000000e-001	       0.1413543
2.2656250000000e-001	       0.1326027
2.3046875000000e-001	       0.1245153
2.3437500000000e-001	       0.1222844
2.3828125000000e-001	       0.1332537
2.4218750000000e-001	       0.1324838
2.4609375000000e-001	       0.1345614
2.5000000000000e-001	       0.1253542
2.5390625000000e-001	       0.1287573
2.5781250000000e-001	       0.1338591
2.6171875000000e-001	       0.1408176
2.6562500000000e-001	       0.1316532
2.6953125000000e-001	       0.1451369
2.7343750000000e-001	       0.1478139
2.7734375000000e-001	       0.1383348
2.8125000000000e-001	       0.1387362
2.8515625000000e-001	       0.1417401
2.8906250000000e-001	       0.1369393
2.9296875000000e-001	        0.142522
2.9687500000000e-001	       0.1258841
3.0078125000000e-001	       0.1272855
3.0468750000000e-001	       0.1284761
3.0859375000000e-001	       0.1205906
3.1250000000000e-001	       0.1315523
3.1640625000000e-001	       0.1353543
3.2031250000000e-001	       0.1338455
3.2421875000000e-001	       0.1230573
3.2812500000000e-001	       0.1242239
3.3203125000000e-001	       0.1305939
3.3593750000000e-001	       0.1247859
3.3984375000000e-001	       0.1299474
3.4375000000000e-001	       0.1271439
3.4765625000000e-001	       0.1259063
3.5156250000000e-001	       0.1363761
3.5546875000000e-001	        0.127822
3.5937500000000e-001	        0.133931
3.6328125000000e-001	       0.1283877
3.6718750000000e-001	       0.1299198
3.7109375000000e-001	       0.1285175
3.7500000000000e-001	       0.1310404
3.7890625000000e-001	       0.1302256
3.8281250000000e-001	       0.1199025
3.8671875000000e-001	       0.1329148
3.9062500000000e-001	       0.1334724
3.9453125000000e-001	       0.1363329
3.9843750000000e-001	       0.1314868
4.0234375000000e-001	       0.1315617
4.0625000000000e-001	        0.123719
4.1015625000000e-001	       0.1271265
4.1406250000000e-001	       0.1319567
4.1796875000000e-001	       0.1243287
4.2187500000000e-001	       0.1268954
4.2578125000000e-001	       0.1337142
4.2968750000000e-001	         0.12639
4.3359375000000e-001	       0.1220241
4.3750000000000e-001	       0.1184521
4.4140625000000e-001	       0.1188667
4.4531250000000e-001	        0.129645
4.4921875000000e-001	       0.1225452
4.5312500000000e-001	       0.1186584
4.5703125000000e-001	       0.1178255
4.6093750000000e-001	       0.1119779
4.6484375000000e-001	       0.1182467
4.6875000000000e-001	       0.1198779
4.7265625000000e-001	       0.1280898
4.7656250000000e-001	       0.1248637
4.8046875000000e-001	       0.1247052
4.8437500000000e-001	       0.1230684
4.8828125000000e-001	       0.1386204
4.9218750000000e-001	       0.1318279
4.9609375000000e-001	       0.1335306
5.0000000000000e-001	       0.1833797
5.0390625000000e-001	       0.2997143
5.0781250000000e-001	       0.2807448
5.1171875000000e-001	        0.181703
5.1562500000000e-001	       0.1427486
5.1953125000000e-001	       0.1398338
5.2343750000000e-001	       0.1156656
5.2734375000000e-001	       0.1357383
5.3125000000000e-001	       0.1418216
5.3515625000000e-001	      0.06721209
5.3906250000000e-001	       0.1173535
5.4296875000000e-001	       0.1360812
5.4687500000000e-001	       0.1128799
5.5078125000000e-001	       0.1519477
5.5468750000000e-001	       0.1482934
5.5859375000000e-001	       0.1849894
5.6250000000000e-001	       0.2561918
5.6640625000000e-001	       0.2690411
5.7031250000000e-001	       0.3099651
5.7421875000000e-001	        0.324826
5.7812500000000e-001	       0.3035386
5.8203125000000e-001	       0.2892297
5.8593750000000e-001	       0.2615784
5.8984375000000e-001	       0.1795387
5.9375000000000e-001	       0.1453591
5.9765625000000e-001	      0.08678282
