Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	     -0.05385145	        0.177812
4.8828125000000e-004	     -0.07257275	        0.194344
9.7656250000000e-004	     -0.09102381	       0.1970904
1.4648437500000e-003	       -0.110583	       0.1963891
1.9531250000000e-003	      -0.1295746	       0.1913529
2.4414062500000e-003	      -0.1481364	       0.1935988
2.9296875000000e-003	      -0.1666666	       0.2051658
3.4179687500000e-003	      -0.1861596	       0.2068581
3.9062500000000e-003	      -0.2029568	       0.2030132
4.3945312500000e-003	      -0.2194086	       0.2120269
4.8828125000000e-003	      -0.2331173	       0.2058314
5.3710937500000e-003	      -0.2479864	       0.1990508
5.8593750000000e-003	      -0.2634949	       0.2270332
6.3476562500000e-003	      -0.2775059	       0.2370819
6.8359375000000e-003	      -0.2902021	       0.2278878
7.3242187500000e-003	      -0.3012732	       0.2402505
7.8125000000000e-003	      -0.3119827	       0.2472045
8.3007812500000e-003	      -0.3202922	       0.2522841
8.7890625000000e-003	      -0.3270104	       0.2436964
9.2773437500000e-003	      -0.3324347	       0.2476239
9.7656250000000e-003	      -0.3360189	         0.24101
1.0253906250000e-002	      -0.3364875	       0.2377941
1.0742187500000e-002	      -0.3348238	       0.2454162
1.1230468750000e-002	      -0.3302611	       0.2352948
1.1718750000000e-002	      -0.3209388	       0.2286687
1.2207031250000e-002	      -0.3096985	       0.2307685
1.2695312500000e-002	      -0.2953212	        0.215182
1.3183593750000e-002	      -0.2791838	       0.2285865
1.3671875000000e-002	      -0.2669072	       0.2371706
1.4160156250000e-002	      -0.2542872	       0.2187756
1.4648437500000e-002	      -0.2441402	       0.2120717
1.5136718750000e-002	      -0.2334644	       0.2121933
1.5625000000000e-002	      -0.2195028	       0.2144328
1.6113281250000e-002	      -0.2085985	       0.2074432
1.6601562500000e-002	      -0.1984031	       0.2035398
1.7089843750000e-002	      -0.1884181	       0.1872196
1.7578125000000e-002	      -0.1777687	         0.19572
1.8066406250000e-002	      -0.1662935	       0.2209339
1.8554687500000e-002	       -0.154862	       0.2075789
1.9042968750000e-002	      -0.1426731	       0.1907168
1.9531250000000e-002	      -0.1298942	       0.1962907
2.0019531250000e-002	      -0.1148632	       0.1949875
2.0507812500000e-002	     -0.09961476	       0.1931196
2.0996093750000e-002	     -0.08399453	       0.2053959
2.1484375000000e-002	     -0.06741752	       0.1821178
2.1972656250000e-002	     -0.05142263	       0.1577186
2.2460937500000e-002	     -0.03409322	       0.1567412
2.2949218750000e-002	     -0.01941944	       0.1687983
2.3437500000000e-002	     -0.00170787	       0.1649243
2.3925781250000e-002	      0.01932361	       0.1695317
2.4414062500000e-002	      0.03870866	       0.1703417
2.4902343750000e-002	      0.06168376	       0.1241898
2.5390625000000e-002	      0.08057962	       0.1382684
2.5878906250000e-002	      0.09756691	       0.1268615
2.6367187500000e-002	       0.1164825	       0.1271049
2.6855468750000e-002	       0.1343708	       0.1345896
2.7343750000000e-002	       0.1534835	        0.130017
2.7832031250000e-002	       0.1719365	       0.1120239
2.8320312500000e-002	        0.190226	        0.125517
2.8808593750000e-002	         0.20861	       0.1214747
2.9296875000000e-002	        0.226008	       0.1105209
2.9785156250000e-002	       0.2423923	       0.1162359
3.0273437500000e-002	       0.2583137	       0.1064331
3.0761718750000e-002	       0.2727021	      0.09655459
3.1250000000000e-002	       0.2874184	       0.1089563
3.1738281250000e-002	       0.3014894	       0.1079805
3.2226562500000e-002	       0.3131268	        0.101195
3.2714843750000e-002	       0.3236506	      0.08829538
3.3203125000000e-002	       0.3339999	      0.09763223
3.3691406250000e-002	        0.340422	      0.09564583
3.4179687500000e-002	       0.3457014	      0.08623132
3.4667968750000e-002	       0.3478911	      0.08162198
3.5156250000000e-002	        0.349002	      0.08283306
3.5644531250000e-002	       0.3495671	      0.08211814
3.6132812500000e-002	       0.3459656	      0.09653843
3.6621093750000e-002	       0.3384478	       0.1031699
3.7109375000000e-002	       0.3269533	      0.09217603
3.7597656250000e-002	        0.312934	      0.09621712
3.8085937500000e-002	       0.2977588	       0.0862196
3.8574218750000e-002	       0.2830719	      0.09817084
3.9062500000000e-002	       0.2686117	       0.1048731
3.9550781250000e-002	       0.2555884	       0.1082497
4.0039062500000e-002	       0.2435646	       0.1071075
4.0527343750000e-002	       0.2322227	       0.1239717
4.1015625000000e-002	       0.2206705	          0.1343
4.1503906250000e-002	       0.2088469	        0.105309
